AirportCode,AirportName,Airport Category,Aircraft,Local Parking Time,Cost in EUR
EGLL,LONDON/HEATHROW,Large,A319,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,A319,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,A320,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,A320,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,A321,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,A321,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,A332,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,A332,06:01-12:00,1239.23
EGLL,LONDON/HEATHROW,Large,AT43,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,AT43,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,AT76,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,AT76,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,B734,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,B734,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,B737,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,B737,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,B738,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,B738,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,B744,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,B744,06:01-12:00,1239.23
EGLL,LONDON/HEATHROW,Large,B752,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,B752,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,B763,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,B763,06:01-12:00,1239.23
EGLL,LONDON/HEATHROW,Large,CRJX,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,CRJX,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,DH8D,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,DH8D,06:01-12:00,631.11
EGLL,LONDON/HEATHROW,Large,E190,00:01-06:00,0.00
EGLL,LONDON/HEATHROW,Large,E190,06:01-12:00,631.11